GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
channel-app,com.channel.api,ChannelListingApi,12,87,2,4,2,17,3,10,1,9
channel-app,com.channel.api,ChannelApi,0,29,0,0,0,7,0,6,0,6
channel-app,com.channel.pojo,Channel,0,24,0,0,0,5,0,7,0,7
channel-app,com.channel.pojo,ChannelListing,4,34,0,0,0,7,1,10,1,10
channel-app,com.channel.pojo,AbstractPojo,0,13,0,0,0,5,0,2,0,2
channel-app,com.channel.dto,ChannelListingDto,381,7,40,0,75,2,30,2,10,2
channel-app,com.channel.dto,ChannelDto,415,71,27,7,80,18,30,6,14,5
channel-app,com.channel.controller,GetChannelFileRestController,130,7,4,0,22,2,3,2,1,2
channel-app,com.channel.controller,AppRestControllerAdvice,280,3,2,0,46,1,16,1,15,1
channel-app,com.channel.controller,AbstractUiController,13,3,0,0,3,1,1,1,1,1
channel-app,com.channel.controller,ChannelListingController,78,7,2,0,20,2,6,2,5,2
channel-app,com.channel.controller,ChannelApiController,76,7,2,0,20,2,6,2,5,2
channel-app,com.channel.controller,HomeChannelAppController,30,3,0,0,8,1,8,1,8,1
channel-app,com.channel.controller,ChannelOrderApiController,113,7,2,0,30,2,9,2,8,2
channel-app,com.channel.dao,ChannelDao,0,18,0,0,0,5,0,2,0,2
channel-app,com.channel.dao,AbstractDao,4,71,1,1,0,15,1,8,0,8
channel-app,com.channel.dao,ChannelListingDao,19,71,0,0,4,16,1,5,1,5
channel-app,com.channel.model.form,ChannelListingForm,17,0,0,0,4,0,5,0,5,0
channel-app,com.channel.model.form,ListingFormData,17,0,0,0,4,0,5,0,5,0
channel-app,com.channel.model.form,AddChannelForm,0,10,0,0,0,3,0,3,0,3
channel-app,com.channel.model.response,MessageData,10,0,0,0,3,0,3,0,3,0
channel-app,com.channel.model.response,ChannelOrdersDataResponse,59,0,0,0,10,0,17,0,17,0
channel-app,com.channel.model.response,ChannelListingDataResponse,45,0,0,0,8,0,13,0,13,0
channel-app,com.channel.client,InvoicePdfClient,58,7,0,0,8,2,1,2,1,2
channel-app,com.channel.client,ProductClient,82,40,0,0,12,7,1,3,1,3
channel-app,com.channel.client,ClientClient,106,59,0,0,22,12,2,4,2,4
channel-app,com.channel.client,OrderItemClient,41,42,0,0,7,7,1,3,1,3
channel-app,com.channel.client,OrderClient,75,42,3,1,16,8,4,3,2,3
channel-app,com.channel.validators,CreateChannelFormValidator,93,7,6,0,24,2,5,2,2,2
channel-app,com.channel.validators,CreateChannelListingFormValidator,152,7,14,0,34,2,9,2,2,2
channel-app,com.channel.validators,ChannelOrderFormValidator,186,7,16,0,41,2,10,2,2,2
channel-app,com.channel.spring,DbConfig,0,114,0,0,0,29,0,4,0,4
channel-app,com.channel.spring,ControllerConfig,4,119,0,0,2,27,1,8,1,8
channel-app,com.channel.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
channel-app,com.channel.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
channel-app,com.channel.spring,PhysicalNamingStrategyImpl,86,0,8,0,13,0,9,0,5,0
